Sec,N,mm/mm,mm,segments
485.56494,35192.957,0.0026723684,1.3112302,194
485.56592,35282.492,0.0026621295,1.3112302,194
485.56689,35366.059,0.0026723684,1.3155012,194
485.56787,35458.578,0.0026928463,1.3112302,194
485.56885,35539.156,0.0026928463,1.3197724,194
485.56982,35634.664,0.0027235632,1.3197724,194
485.5708,35718.227,0.0027440412,1.3197724,194
485.57178,35810.746,0.0027440412,1.3155012,194
485.57275,35894.309,0.0027542801,1.3197724,194
485.57373,35986.828,0.002774758,1.3240435,194
485.57471,36073.379,0.002795236,1.3283145,194
485.57568,36153.961,0.002795236,1.3283145,194
485.57666,36246.48,0.0028157139,1.3283145,194
485.57764,36327.063,0.0028361918,1.3283145,194
485.57861,36413.609,0.0028566697,1.3325857,194
485.57959,36500.16,0.0028669087,1.3283145,194
485.58057,36586.707,0.0028771476,1.3368568,194
485.58154,36667.289,0.0028873866,1.3368568,194
485.58252,36756.824,0.0028976256,1.3368568,194
485.5835,36828.453,0.0028976256,1.3368568,194
485.58447,36920.973,0.0029181035,1.3368568,194
485.58545,36989.613,0.0029385814,1.3411279,194
485.58643,37079.148,0.0029590593,1.3411279,194
485.5874,37159.73,0.0029692983,1.3411279,194
485.58838,37249.266,0.0029590593,1.345399,194
485.58936,37323.875,0.0029692983,1.3496702,194
485.59033,37410.422,0.0029897762,1.3496702,194
485.59131,37482.051,0.0030204931,1.3496702,194
485.59229,37583.523,0.0030204931,1.3539412,194
485.59326,37658.137,0.0030204931,1.3582124,194
485.59424,37747.668,0.00305121,1.3539412,194
485.59521,37816.316,0.00305121,1.3539412,194
485.59619,37905.848,0.0030614489,1.3539412,194
485.59717,37986.426,0.0030819268,1.3539412,194
485.59814,38072.98,0.0030716879,1.3624835,194
485.59912,38153.563,0.0030819268,1.3582124,194
485.6001,38243.094,0.0031024048,1.3624835,194
485.60107,38317.707,0.0031024048,1.3582124,194
485.60205,38407.242,0.0031126437,1.3624835,194
485.60303,38490.805,0.0031126437,1.3624835,194
485.604,38580.34,0.0031433606,1.3624835,194
485.60498,38666.891,0.0031331216,1.3710257,194
485.60596,38747.473,0.0031843164,1.3710257,194
485.60693,38831.035,0.0031843164,1.3667545,194
485.60791,38914.602,0.0031945554,1.3710257,194
485.60889,39001.152,0.0031945554,1.3752968,194
485.60986,39078.746,0.0032150333,1.3752968,194
485.61084,39162.313,0.0032355112,1.3752968,194
485.61182,39248.863,0.0032559892,1.3752968,194
485.61279,39338.398,0.0032764671,1.3752968,194
485.61377,39413.008,0.0032764671,1.3795679,194
485.61475,39505.527,0.003296945,1.3795679,194
485.61572,39574.168,0.003307184,1.383839,194
485.6167,39663.703,0.0033174229,1.383839,194
485.61768,39738.316,0.0033276619,1.383839,194
485.61865,39827.852,0.0033481398,1.383839,194
485.61963,39902.461,0.0033583788,1.3881102,194
485.62061,39986.031,0.0033788567,1.383839,194
485.62158,40063.625,0.0033686177,1.3923812,194
485.62256,40153.16,0.0034095736,1.3923812,194
485.62354,40221.801,0.0033993346,1.3966523,194
485.62451,40305.367,0.0034095736,1.3966523,194
485.62549,40376.996,0.0034300515,1.3966523,194
485.62646,40460.559,0.0034300515,1.3923812,194
485.62744,40541.141,0.0034607684,1.3966523,194
485.62842,40624.707,0.0034607684,1.3966523,194
485.62939,40690.363,0.0034710073,1.4009235,194
485.63037,40779.898,0.0034914853,1.4051945,194
485.63135,40854.512,0.0034914853,1.4009235,194
485.63232,40944.047,0.0035017242,1.4051945,194
485.6333,41018.656,0.0035119632,1.4009235,194
485.63428,41102.223,0.0035222021,1.4051945,194
485.63525,41176.836,0.0035324411,1.4094657,194
485.63623,41260.398,0.0035324411,1.4094657,194
485.63721,41337.996,0.003563158,1.4094657,194
485.63818,41421.563,0.003563158,1.4137368,194
485.63916,41508.113,0.0035836359,1.4180079,194
485.64014,41585.707,0.0035836359,1.4137368,194
485.64111,41666.289,0.0036041138,1.4137368,194
485.64209,41746.871,0.0036143528,1.4180079,194
485.64307,41827.449,0.0036245917,1.4180079,194
485.64404,41902.066,0.0036450697,1.4180079,194
485.64502,41982.645,0.0036553086,1.422279,194
485.646,42063.227,0.0036655476,1.422279,194
485.64697,42152.758,0.0036860255,1.422279,194
485.64795,42221.402,0.0036962645,1.4265501,194
485.64893,42307.953,0.0037065034,1.4265501,194
485.6499,42382.566,0.0037269813,1.4265501,194
485.65088,42466.129,0.0037474593,1.4265501,194
485.65186,42540.742,0.0037474593,1.4308212,194
485.65283,42621.324,0.0037679372,1.4265501,194
485.65381,42695.934,0.0037781761,1.4308212,194
485.65479,42776.516,0.0037884151,1.4393635,194
485.65576,42848.145,0.003819132,1.4350923,194
485.65674,42934.691,0.003808893,1.4350923,194
485.65771,42997.367,0.003819132,1.4350923,194
485.65869,43083.914,0.0038396099,1.4393635,194
485.65967,43149.574,0.0038498489,1.4350923,194
485.66064,43233.141,0.0038498489,1.4436345,194
485.66162,43304.77,0.0038703268,1.4393635,194
485.6626,43388.332,0.0038703268,1.4479057,194
485.66357,43456.977,0.0038908047,1.4436345,194
485.66455,43540.543,0.0038908047,1.4479057,194
485.66553,43618.137,0.0039010437,1.4479057,194
485.6665,43695.734,0.0039215214,1.4521768,194
485.66748,43764.379,0.0039419993,1.4521768,194
485.66846,43847.941,0.0039317603,1.4479057,194
485.66943,43919.57,0.0039522382,1.4521768,194
485.67041,44000.152,0.0039624772,1.4521768,194
485.67139,44080.73,0.0039829551,1.4564478,194
485.67236,44152.359,0.0039727162,1.4521768,194
485.67334,44235.922,0.0039829551,1.4521768,194
485.67432,44307.551,0.004013672,1.460719,194
485.67529,44388.133,0.004023911,1.46499,194
485.67627,44465.73,0.0040341499,1.460719,194
485.67725,44546.309,0.0040546278,1.46499,194
485.67822,44614.953,0.0040648668,1.46499,194
485.6792,44701.504,0.0040648668,1.46499,194
485.68018,44767.164,0.0040853447,1.4735323,194
485.68115,44847.742,0.0041058226,1.46499,194
485.68213,44922.355,0.0041160616,1.4692612,194
485.68311,45008.902,0.0041365395,1.4692612,194
485.68408,45074.563,0.0041263006,1.4735323,194
485.68506,45155.145,0.0041570175,1.4735323,194
485.68604,45220.801,0.0041672564,1.4778033,194
485.68701,45304.367,0.0041877343,1.4778033,194
485.68799,45361.074,0.0042082123,1.4778033,194
485.68896,45444.637,0.0041979733,1.4820745,194
485.68994,45510.297,0.0042286902,1.4778033,194
485.69092,45590.879,0.0042286902,1.4820745,194
485.69189,45656.535,0.0042389291,1.4778033,194
485.69287,45731.148,0.0042389291,1.4778033,194
485.69385,45796.805,0.0042491681,1.4820745,194
485.69482,45868.434,0.004269646,1.4863456,194
485.6958,45937.078,0.004279885,1.4863456,194
485.69678,46020.641,0.004279885,1.4820745,194
485.69775,46086.301,0.0043208408,1.4906167,194
485.69873,46160.91,0.0043208408,1.4948878,194
485.69971,46229.559,0.0043310798,1.4906167,194
485.70068,46307.152,0.0043310798,1.4948878,194
485.70166,46378.781,0.0043617967,1.4906167,194
485.70264,46447.422,0.0043515577,1.4948878,194
485.70361,46522.035,0.0043515577,1.4948878,194
485.70459,46593.664,0.0043720356,1.4906167,194
485.70557,46665.289,0.0043822746,1.499159,194
485.70654,46733.934,0.0044027525,1.499159,194
485.70752,46817.496,0.0044334694,1.499159,194
485.7085,46880.172,0.0044334694,1.5077012,194
485.70947,46954.785,0.0044334694,1.50343,194
485.71045,47020.441,0.0044539473,1.50343,194
485.71143,47104.008,0.0044539473,1.50343,194
485.7124,47169.668,0.0044846642,1.5077012,194
485.71338,47244.277,0.0044949031,1.50343,194
