strain,stress_MPa
0.0040853447,377.2835686982542
0.0041058226,377.91965956585716
0.0041160616,378.5086621212005
0.0041365395,379.1918728774668
0.0041263006,379.7102074409664
0.0041570175,380.34632988497316
0.0041672564,380.864624977968
0.0041877343,381.52430341925594
0.0042082123,381.97195420271
0.0041979733,382.63160896169506
0.0042286902,383.1499356310937
0.0042286902,383.78605807510047
0.0042389291,384.3043531680953
0.0042389291,384.8933557234386
0.0042491681,385.41165871053437
0.004269646,385.97710526859646
0.004279885,386.51898793527636
0.004279885,387.17864269426144
0.0043208408,387.6969693636601
0.0043208408,388.2859403425996
0.0043310798,388.8278624797843
0.0043310798,389.440389456005
0.0043617967,390.0058360140671
0.0043515577,390.54769499844406
0.0043515577,391.1366975537874
0.0043720356,391.70214411184946
0.0043822746,392.2675590935077
0.0044027525,392.8094496542886
0.0044334694,393.4690965191727
0.0044334694,393.96386719129015
0.0044334694,394.55286974663346
0.0044539473,395.07116483962824
0.0044539473,395.7308511750172
0.0044846642,396.24917784441584
0.0044949031,396.83814882335537
0.00452562,397.30933192178765
0.00452562,397.94545436579443
0.004535859,398.39310514924847
0.00452562,398.9821077045917
0.0045665759,399.50040279758656
0.0045665759,400.1129376679082
0.0045768148,400.537032454081
0.0045972927,401.14959890080655
0.0045972927,401.5972181078567
0.0046075317,402.2333405518634
0.0046280096,402.7281033298799
0.0046382486,403.29351831153815
0.0046382486,403.78828898365555
0.0046587265,404.3065840766504
0.0046689655,404.80135474876784
0.0046792044,405.36676973042603
0.0047099213,405.9322162884881
0.0046996824,406.4269869606056
0.0046996824,406.9924019422638
0.0047201603,407.4871726143812
0.0047303992,408.0290237046573
0.0047303992,408.5002699558973
0.0047611161,409.04212104617335
0.0047611161,409.53689171829075
0.004781594,410.14942658861247
0.004781594,410.59707737206645
0.004791833,411.1389284623425
0.004781594,411.5865555634936
0.0048225499,412.17555811883693
0.0048327888,412.6938847882356
0.0048327888,413.2357753490164
0.0048327888,413.7069505533478
0.0048635057,414.3194854236695
0.0048737447,414.7671362071235
0.0048839836,415.3325827651856
0.0048942226,415.7802019722357
0.0049044616,416.3692045275791
